원본 출처,L1 대분류,L1 소분류,L1 중분류,QID,구분,연도
2025 KMLE 4교시 9번,내과,심혈관계 진찰 및 증상,순환기,,임상의학,
2025 KMLE 3교시 40번,내과,심혈관계 진찰 및 증상,순환기,,임상의학,
2022 KMLE 2교시 40번,정신건강의학과,기분 장애,질환,,임상의학,
2026 KMLE 1교시 20번,의료법규,의료법(의료기관),의료법규,,인문사회의학,
2022 KMLE 4교시 44번,내과,콩팥병의 접근,신장,,임상의학,
2022 KMLE 1교시 24번,내과,당뇨병,내분비,,임상의학,
2023 KMLE 3교시 67번,내과,베체트병,류마티스,,임상의학,
2024 KMLE 4교시 35번,내과,콩팥세관사이질/혈관 질환,신장,,임상의학,
2026 KMLE 1교시 64번,예방의학,보건의료 서론(이해),의료관리,,인문사회의학,
2023 KMLE 3교시 2번,외과,췌장,외과각론,SGSP01600007,임상의학,
2022 KMLE 4교시 36번,산부인과,자궁내막증식증,부인과-종양,,임상의학,
2026 KMLE 1교시 63번,예방의학,환경오염,환경 및 산업보건,,인문사회의학,
2025 KMLE 3교시 10번,내과,호흡기계 진찰 및 증상,호흡기,,임상의학,
2021 KMLE 2교시 9번,마이너,경련(간질),신경과/신경외과,,임상의학,
2023 KMLE 1교시 8번,의료법규,국민건강보험법,의료법규,,인문사회의학,
2022 KMLE 2교시 35번,정신건강의학과,수면과 수면 장애,질환,,임상의학,
2024 KMLE 2교시 79번,내과,심막질환,순환기,,임상의학,
2022 KMLE 3교시 24번,내과,폐렴,호흡기,,임상의학,
2021 KMLE 3교시 63번,내과,갑상샘 기능이상,내분비,,임상의학,
2024 KMLE 2교시 1번,외과,외상,외과총론,SGGN01000004,임상의학,
2025 KMLE 4교시 23번,내과,빈혈에 대한 접근,혈액,,임상의학,
2023 KMLE 1교시 45번,산부인과,부인과 감염질환,부인과-일반,,임상의학,
2022 KMLE 3교시 76번,내과,과민성 대장증후군,소화기-위장관,,임상의학,
2021 KMLE 2교시 53번,외과,동맥계,외과각론,SGSP01800003,임상의학,
2023 KMLE 4교시 75번,내과,지질대사 이상,내분비,,임상의학,
2021 KMLE 3교시 33번,내과,황달과 고빌리루빈혈증,소화기-간담췌,,임상의학,
2025 KMLE 4교시 33번,산부인과,무월경,부인과-생식내분비,,임상의학,
2025 KMLE 4교시 25번,외과,결장 및 직장,외과각론,SGSP01200004,임상의학,
2024 KMLE 4교시 12번,내과,열과 불명열,감염,,임상의학,
2024 KMLE 3교시 29번,내과,만성 바이러스간염,소화기-간담췌,,임상의학,
2021 KMLE 4교시 4번,외과,결장 및 직장,외과각론,SGSP01200009,임상의학,
2026 KMLE 1교시 58번,,,,,,
2021 KMLE 1교시 67번,예방의학,건강관련 행태와 의료이용,의료관리,,인문사회의학,
2026 KMLE 1교시 2번,의료법규,의료법(의료기관),의료법규,,인문사회의학,
2024 KMLE 3교시 48번,마이너,폐와 흉막,심장혈관흉부외과,,임상의학,
2024 KMLE 2교시 30번,내과,천식,호흡기,,임상의학,
2024 KMLE 4교시 21번,내과,위장관 출혈,소화기-위장관,,임상의학,
2021 KMLE 3교시 28번,산부인과,폐경,부인과-생식내분비,,임상의학,
2025 KMLE 3교시 2번,내과,부갑상샘 및 칼슘 대사,내분비,,임상의학,
2022 KMLE 4교시 35번,산부인과,양수 및 태반 이상,산과-이상임신,,임상의학,
2024 KMLE 1교시 80번,예방의학,의료윤리,건강증진/의료윤리,,인문사회의학,
2024 KMLE 3교시 72번,산부인과,조산,산과-이상임신,,임상의학,
2021 KMLE 2교시 48번,내과,심근질환,순환기,,임상의학,
2022 KMLE 4교시 50번,외과,막창자꼬리(충수),외과각론,SGSP01100003,임상의학,
2023 KMLE 2교시 77번,마이너,망막 질환,안과,,임상의학,
2022 KMLE 3교시 11번,외과,외상,외과총론,SGGN01000009,임상의학,
2021 KMLE 1교시 14번,의료법규,의료법(의료기관),의료법규,,인문사회의학,
2021 KMLE 4교시 7번,소아청소년과,소화기 질환,각론,,임상의학,
2024 KMLE 1교시 76번,예방의학,역학적 자료의 수집과 분류,역학,,인문사회의학,
2024 KMLE 1교시 69번,예방의학,보건의료 서론(이해),의료관리,,인문사회의학,
2022 KMLE 1교시 44번,산부인과,부인과 감염질환,부인과-일반,,임상의학,
2021 KMLE 1교시 28번,정신건강의학과,정신의학의 역사,기초,,임상의학,
2022 KMLE 3교시 58번,내과,췌장 질환,소화기-간담췌,,임상의학,
2025 KMLE 4교시 62번,내과,감염질환 개요,감염,,임상의학,
2025 KMLE 2교시 50번,마이너,신경학적 검사(병력 포함),신경과/신경외과,,임상의학,
2022 KMLE 4교시 52번,내과,천식,호흡기,,임상의학,
2022 KMLE 2교시 47번,내과,간질성 폐질환,호흡기,,임상의학,
2021 KMLE 1교시 27번,예방의학,보건의료 서론(이해),의료관리,,인문사회의학,
2023 KMLE 2교시 55번,내과,류마티스관절염,류마티스,,임상의학,
2023 KMLE 4교시 79번,내과,알코올성/비알코올성 간질환,소화기-간담췌,,임상의학,
2026 KMLE 1교시 53번,내과,빈맥성 부정맥,순환기,,임상의학,
2026 KMLE 1교시 41번,외과,결장 및 직장,외과각론,SGSP01200019,임상의학,
2023 KMLE 2교시 16번,내과,전신홍반루푸스(SLE),류마티스,,임상의학,
2025 KMLE 3교시 72번,산부인과,정상 분만(분만 기전),산과-분만관리,,임상의학,
2022 KMLE 2교시 48번,외과,유방,외과각론,SGSP00100011,임상의학,
2024 KMLE 3교시 50번,내과,담낭 및 담도 질환,소화기-간담췌,,임상의학,
2024 KMLE 4교시 53번,산부인과,부인과 감염질환,부인과-일반,,임상의학,
2021 KMLE 4교시 31번,산부인과,난소종양,부인과-종양,,임상의학,
2023 KMLE 3교시 13번,소아청소년과,감염병,각론,,임상의학,
2021 KMLE 3교시 32번,소아청소년과,심혈관 질환,각론,,임상의학,
2024 KMLE 1교시 41번,내과,재생불량빈혈/골수이형성증후군,혈액,,임상의학,
2023 KMLE 2교시 1번,내과,판막질환,순환기,,임상의학,
2024 KMLE 3교시 28번,내과,빈맥성 부정맥,순환기,,임상의학,
2021 KMLE 1교시 53번,내과,서맥성 부정맥,순환기,,임상의학,
2023 KMLE 3교시 72번,산부인과,임신 고혈압,산과-이상임신,,임상의학,
2022 KMLE 3교시 38번,마이너,동물 기생충성 피부질환,피부과,,임상의학,
2023 KMLE 4교시 69번,소아청소년과,호흡기 질환,각론,,임상의학,
2023 KMLE 1교시 43번,내과,기관지확장증,호흡기,,임상의학,
2026 KMLE 1교시 42번,내과,종양의 진단,종양,,임상의학,
2024 KMLE 4교시 70번,정신건강의학과,신경인지장애(인지기능장애),질환,,임상의학,
2025 KMLE 1교시 34번,내과,당뇨병,내분비,,임상의학,
2022 KMLE 2교시 59번,정신건강의학과,물질관련 장애(알코올/약물),질환,,임상의학,
2025 KMLE 1교시 33번,내과,복부 증상론 및 진단학,소화기-위장관,,임상의학,
2025 KMLE 2교시 13번,내과,복부 증상론 및 진단학,소화기-위장관,,임상의학,
2023 KMLE 2교시 36번,산부인과,조산,산과-이상임신,,임상의학,
2023 KMLE 3교시 26번,내과,판막질환,순환기,,임상의학,
2021 KMLE 1교시 13번,의료법규,의료법(의료기관),의료법규,,인문사회의학,
2025 KMLE 4교시 78번,산부인과,산과 초음파,산과-산전관리,,임상의학,
2024 KMLE 4교시 17번,마이너,척추의 질환,정형외과,,임상의학,
2025 KMLE 4교시 24번,외과,탈장,외과각론,SGSP00600002,임상의학,
2024 KMLE 1교시 8번,의료법규,국민건강증진법,의료법규,,인문사회의학,
2026 KMLE 1교시 56번,외과,수술 전 처치,외과총론,SGGN00500001,임상의학,
2025 KMLE 4교시 37번,소아청소년과,감염병,각론,,임상의학,
2025 KMLE 2교시 57번,내과,복부 증상론 및 진단학,소화기-위장관,,임상의학,
2023 KMLE 2교시 51번,산부인과,양수 및 태반 이상,산과-이상임신,,임상의학,
2021 KMLE 4교시 11번,외과,외과적 감염 및 예방적 처치,외과총론,,임상의학,
2024 KMLE 4교시 67번,소아청소년과,소아의 영양,총론,,임상의학,
2022 KMLE 3교시 47번,내과,간경변증 및 합병증,소화기-간담췌,,임상의학,
2025 KMLE 4교시 39번,소아청소년과,감염병,각론,,임상의학,
2023 KMLE 1교시 22번,외과,"지혈, 출혈 및 수혈",외과총론,SGGN00200007,임상의학,
2024 KMLE 4교시 2번,산부인과,정상 분만(분만 기전),산과-분만관리,,임상의학,
2024 KMLE 3교시 11번,내과,심부전,순환기,,임상의학,
2025 KMLE 1교시 3번,의료법규,의료법(의료인),의료법규,,인문사회의학,
2021 KMLE 2교시 67번,내과,두드러기와 혈관부종,알레르기,,임상의학,
2025 KMLE 4교시 15번,내과,콩팥병의 접근,신장,,임상의학,
2022 KMLE 2교시 34번,내과,폐암,호흡기,,임상의학,
2024 KMLE 2교시 48번,소아청소년과,감염병,각론,,임상의학,
2021 KMLE 3교시 34번,소아청소년과,신생아 황달,총론,,임상의학,
2026 KMLE 1교시 46번,내과,빈맥성 부정맥,순환기,,임상의학,
2025 KMLE 4교시 60번,마이너,동물 기생충성 피부질환,피부과,,임상의학,
2025 KMLE 1교시 6번,의료법규,보건의료기본법,의료법규,,인문사회의학,
2025 KMLE 2교시 15번,내과,심혈관계 진찰 및 증상,순환기,,임상의학,
2024 KMLE 3교시 57번,,,,,,
2024 KMLE 1교시 61번,예방의학,지역사회보건,의료관리,,인문사회의학,
2023 KMLE 3교시 18번,산부인과,조산,산과-이상임신,,임상의학,
2026 KMLE 1교시 25번,외과,담낭과 담도,외과각론,SGSP01500015,임상의학,
2024 KMLE 3교시 53번,내과,췌장 질환,소화기-간담췌,,임상의학,
2021 KMLE 3교시 24번,소아청소년과,신·요로 질환,각론,,임상의학,
2024 KMLE 1교시 27번,외과,췌장,외과각론,SGSP01600003,임상의학,
2023 KMLE 2교시 7번,소아청소년과,감염병,각론,,임상의학,
2022 KMLE 2교시 27번,소아청소년과,심혈관 질환,각론,,임상의학,
2025 KMLE 2교시 70번,외과,소아외과,외과각론,SGSP02000001,임상의학,
2023 KMLE 4교시 29번,내과,급성 콩팥기능상실,신장,,임상의학,
2022 KMLE 3교시 60번,내과,폐결핵,호흡기,,임상의학,
2022 KMLE 4교시 48번,내과,급성호흡곤란증후군,호흡기,,임상의학,
2025 KMLE 3교시 79번,내과,류마티스질환의 접근,류마티스,,임상의학,
2023 KMLE 2교시 39번,내과,폐결핵,호흡기,,임상의학,
2026 KMLE 1교시 26번,내과,당뇨병,내분비,,임상의학,
2025 KMLE 2교시 27번,내과,호흡기계 진찰 및 증상,호흡기,,임상의학,
2023 KMLE 2교시 67번,산부인과,정상 분만(분만 기전),산과-분만관리,,임상의학,
2021 KMLE 1교시 77번,예방의학,질병 및 사망분포의 측정,역학,,인문사회의학,
2025 KMLE 3교시 56번,내과,복부 증상론 및 진단학,소화기-위장관,,임상의학,
2021 KMLE 2교시 63번,산부인과,산욕기 이상(질환),산과-산후관리,,임상의학,
2024 KMLE 4교시 68번,소아청소년과,결체조직 질환,각론,,임상의학,
2025 KMLE 4교시 4번,내과,간경변증 및 합병증,소화기-간담췌,,임상의학,
2021 KMLE 4교시 65번,외과,위와 샘창자(십이지장),외과각론,SGSP00900013,임상의학,
2023 KMLE 4교시 9번,내과,급성 콩팥기능상실,신장,,임상의학,
2021 KMLE 5교시 26번,내과,빈맥성 부정맥,순환기,,임상의학,
2023 KMLE 3교시 56번,내과,소장·결장·직장 종양,소화기-위장관,,임상의학,
2023 KMLE 3교시 24번,산부인과,임신 고혈압,산과-이상임신,,임상의학,
2021 KMLE 4교시 60번,내과,콩팥세관사이질/혈관 질환,신장,,임상의학,
2021 KMLE 1교시 64번,예방의학,타당도와 신뢰도,역학,,인문사회의학,
2024 KMLE 3교시 13번,산부인과,가족계획,부인과-일반,,임상의학,
2023 KMLE 4교시 28번,내과,서맥성 부정맥,순환기,,임상의학,
2024 KMLE 4교시 46번,내과,약물 알레르기,알레르기,,임상의학,
2022 KMLE 2교시 72번,소아청소년과,신·요로 질환,각론,,임상의학,
2023 KMLE 1교시 6번,의료법규,혈액관리법,의료법규,,인문사회의학,
2024 KMLE 1교시 33번,내과,간경변증 및 합병증,소화기-간담췌,,임상의학,
2023 KMLE 2교시 48번,소아청소년과,신경계 질환,각론,,임상의학,
2022 KMLE 3교시 72번,내과,콩팥토리질환,신장,,임상의학,
2024 KMLE 4교시 59번,소아청소년과,신생아 질환,총론,,임상의학,
2024 KMLE 2교시 10번,산부인과,유산,산과-이상임신,,임상의학,
2025 KMLE 3교시 1번,내과,복부 증상론 및 진단학,소화기-위장관,,임상의학,
2024 KMLE 1교시 60번,예방의학,타당도와 신뢰도,역학,,인문사회의학,
2022 KMLE 1교시 16번,의료법규,마약류관리에 관한 법률,의료법규,,인문사회의학,
2025 KMLE 4교시 26번,외과,유방,외과각론,SGSP00100002,임상의학,
2026 KMLE 1교시 33번,소아청소년과,서론(소아의 진찰),총론,,임상의학,
2021 KMLE 3교시 53번,내과,중독,기타,,임상의학,
2025 KMLE 3교시 49번,내과,호흡기계 진찰 및 증상,호흡기,,임상의학,
2024 KMLE 1교시 48번,산부인과,부인과 감염질환,부인과-일반,,임상의학,
2024 KMLE 3교시 58번,내과,위종양,소화기-위장관,,임상의학,
2024 KMLE 2교시 38번,산부인과,임신 고혈압,산과-이상임신,,임상의학,
2022 KMLE 2교시 23번,내과,담낭 및 담도 질환,소화기-간담췌,,임상의학,
2024 KMLE 3교시 35번,마이너,"비과학(코 질환, 부비동염)",이비인후과,,임상의학,
2025 KMLE 2교시 3번,내과,내분비 대사질환 개요,내분비,,임상의학,
2024 KMLE 3교시 63번,내과,위장관 출혈,소화기-위장관,,임상의학,
2025 KMLE 1교시 69번,예방의학,임상예방의학과 건강진단,건강증진/의료윤리,,인문사회의학,
2023 KMLE 3교시 61번,소아청소년과,알레르기 질환,각론,,임상의학,
2024 KMLE 3교시 34번,소아청소년과,신·요로 질환,각론,,임상의학,
2021 KMLE 4교시 8번,내과,간경변증 및 합병증,소화기-간담췌,,임상의학,
2025 KMLE 2교시 21번,내과,심혈관계 진찰 및 증상,순환기,,임상의학,
2026 KMLE 1교시 18번,의료법규,감염병의 예방 및 관리에 관한 법률,의료법규,,인문사회의학,
2023 KMLE 3교시 10번,정신건강의학과,소아·청소년 정신의학,특수분야,,임상의학,
2021 KMLE 2교시 46번,내과,신대체요법,신장,,임상의학,
2024 KMLE 3교시 24번,소아청소년과,호흡기 질환,각론,,임상의학,
2023 KMLE 3교시 32번,마이너,습진성 피부질환,피부과,,임상의학,
2025 KMLE 4교시 2번,내과,복부 증상론 및 진단학,소화기-위장관,,임상의학,
2025 KMLE 2교시 12번,정신건강의학과,정신의학의 역사,기초,,임상의학,
2022 KMLE 3교시 17번,내과,간경변증 및 합병증,소화기-간담췌,,임상의학,
2021 KMLE 3교시 13번,내과,부신피질 질환,내분비,,임상의학,
2022 KMLE 2교시 75번,마이너,습진성 피부질환,피부과,,임상의학,
2022 KMLE 1교시 38번,내과,폐결핵,호흡기,,임상의학,
2021 KMLE 2교시 8번,산부인과,임신의 내/외과적 합병증,산과-이상임신,,임상의학,
2025 KMLE 3교시 66번,외과,위와 샘창자(십이지장),외과각론,SGSP00900003,임상의학,
2021 KMLE 5교시 23번,마이너,심폐소생술,응급의학과,,임상의학,
2021 KMLE 3교시 31번,소아청소년과,호흡기 질환,각론,,임상의학,
2022 KMLE 3교시 34번,마이너,결막·각막 질환,안과,,임상의학,
2021 KMLE 1교시 20번,의료법규,후천성면역결핍증 예방법,의료법규,,인문사회의학,
2024 KMLE 4교시 15번,내과,갑상샘염과 갑상샘종,내분비,,임상의학,
2023 KMLE 4교시 35번,소아청소년과,신생아 질환,총론,,임상의학,
2021 KMLE 1교시 12번,의료법규,의료법(의료인),의료법규,,인문사회의학,
2021 KMLE 4교시 49번,마이너,뇌혈관 질환(뇌출혈/뇌경색),신경과/신경외과,,임상의학,
2021 KMLE 4교시 50번,마이너,경련(간질),신경과/신경외과,,임상의학,
2024 KMLE 4교시 69번,소아청소년과,감염병,각론,,임상의학,
2024 KMLE 4교시 36번,내과,콩팥토리질환,신장,,임상의학,
2023 KMLE 1교시 27번,외과,동맥계,외과각론,SGSP01800006,임상의학,
2026 KMLE 1교시 70번,예방의학,역학의 기본원리(역학적 개념),역학,,인문사회의학,
2025 KMLE 4교시 58번,내과,알레르기 질환 총론,알레르기,,임상의학,
2025 KMLE 1교시 45번,외과,"지혈, 출혈 및 수혈",외과총론,SGGN00200001,임상의학,
2025 KMLE 1교시 48번,내과,빈맥성 부정맥,순환기,,임상의학,
2022 KMLE 1교시 58번,내과,부신피질 질환,내분비,,임상의학,
2022 KMLE 2교시 61번,소아청소년과,감염병,각론,,임상의학,
2024 KMLE 1교시 35번,정신건강의학과,섭식 장애,질환,,임상의학,
2021 KMLE 1교시 4번,의료법규,국민건강보험법,의료법규,,인문사회의학,
2023 KMLE 1교시 19번,의료법규,의료법(의료기관),의료법규,,인문사회의학,
2022 KMLE 1교시 1번,의료법규,감염병의 예방 및 관리에 관한 법률,의료법규,,인문사회의학,
2024 KMLE 2교시 66번,내과,당뇨병,내분비,,임상의학,
2023 KMLE 2교시 2번,내과,흉막과 종격동 질환,호흡기,,임상의학,
2025 KMLE 4교시 38번,소아청소년과,감염병,각론,,임상의학,
2025 KMLE 3교시 31번,내과,안정형 협심증,순환기,,임상의학,
2023 KMLE 4교시 32번,내과,콩팥토리질환,신장,,임상의학,
2023 KMLE 2교시 11번,내과,담낭 및 담도 질환,소화기-간담췌,,임상의학,
2025 KMLE 3교시 61번,마이너,두통,신경과/신경외과,,임상의학,
2022 KMLE 1교시 13번,의료법규,국민건강증진법,의료법규,,인문사회의학,
2026 KMLE 1교시 69번,예방의학,임상예방의학과 건강진단,건강증진/의료윤리,,인문사회의학,
2025 KMLE 4교시 76번,마이너,전립샘 질환,비뇨의학과,,임상의학,
2021 KMLE 4교시 2번,외과,결장 및 직장,외과각론,SGSP01200008,임상의학,
2025 KMLE 4교시 72번,내과,내분비 대사질환 개요,내분비,,임상의학,
2024 KMLE 3교시 36번,산부인과,부인과 감염질환,부인과-일반,,임상의학,
2022 KMLE 4교시 56번,내과,대동맥 질환,순환기,,임상의학,
2022 KMLE 3교시 45번,내과,식도질환,소화기-위장관,,임상의학,
2023 KMLE 3교시 21번,마이너,사고와 중독,응급의학과,,임상의학,
2021 KMLE 3교시 46번,소아청소년과,종양성 질환,각론,,임상의학,
2022 KMLE 2교시 2번,내과,갑상샘염과 갑상샘종,내분비,,임상의학,
2022 KMLE 1교시 20번,의료법규,연명의료결정법,의료법규,,인문사회의학,
2024 KMLE 4교시 37번,마이너,사고와 중독,응급의학과,,임상의학,
2021 KMLE 2교시 7번,산부인과,임신의 내/외과적 합병증,산과-이상임신,,임상의학,
2022 KMLE 1교시 71번,예방의학,질병 및 사망분포의 측정,역학,,인문사회의학,
2021 KMLE 2교시 61번,정신건강의학과,기분 장애,질환,,임상의학,
2024 KMLE 3교시 31번,내과,담낭 및 담도 질환,소화기-간담췌,,임상의학,
2024 KMLE 3교시 51번,내과,췌장 질환,소화기-간담췌,,임상의학,
2023 KMLE 3교시 71번,산부인과,산과 초음파,산과-산전관리,,임상의학,
2025 KMLE 4교시 44번,정신건강의학과,불안장애,질환,,임상의학,
2022 KMLE 3교시 77번,외과,담낭과 담도,외과각론,SGSP01500012,임상의학,
2022 KMLE 2교시 56번,외과,부신,외과각론,SGSP00400001,임상의학,
2025 KMLE 3교시 9번,소아청소년과,발달,총론,,임상의학,
2021 KMLE 1교시 37번,소아청소년과,심혈관 질환,각론,,임상의학,
2025 KMLE 2교시 38번,내과,심혈관계 검사,순환기,,임상의학,
2023 KMLE 3교시 45번,내과,뇌하수체 전엽 및 시상하부 질환,내분비,,임상의학,
2025 KMLE 1교시 70번,예방의학,감염성 질환의 역학과 관리,역학,,인문사회의학,
2025 KMLE 3교시 54번,내과,호흡기계 진찰 및 증상,호흡기,,임상의학,
2023 KMLE 3교시 69번,내과,갑상샘 기능이상,내분비,,임상의학,
2022 KMLE 4교시 16번,산부인과,기형학: 임신 중 약물 및 영양,산과-산전관리,,임상의학,
2025 KMLE 3교시 60번,소아청소년과,성장,총론,,임상의학,
2025 KMLE 4교시 19번,내과,알레르기 비염,알레르기,,임상의학,
2021 KMLE 5교시 21번,소아청소년과,수분 및 전해질 평형,총론,,임상의학,
2023 KMLE 2교시 46번,외과,위와 샘창자(십이지장),외과각론,SGSP00900023,임상의학,
2023 KMLE 4교시 60번,내과,장혈관 질환,소화기-위장관,,임상의학,
2022 KMLE 2교시 50번,소아청소년과,신경계 질환,각론,,임상의학,
2022 KMLE 4교시 78번,내과,간질성 폐질환,호흡기,,임상의학,
2024 KMLE 1교시 49번,외과,"지혈, 출혈 및 수혈",외과총론,,임상의학,
2023 KMLE 3교시 68번,소아청소년과,내분비 질환,각론,,임상의학,
2025 KMLE 3교시 22번,내과,폐렴,호흡기,,임상의학,
2025 KMLE 4교시 56번,내과,폐렴,호흡기,,임상의학,
2021 KMLE 1교시 32번,외과,유방,외과각론,SGSP00100007,임상의학,
2021 KMLE 5교시 27번,내과,직업성 폐질환,호흡기,,임상의학,
2025 KMLE 4교시 8번,내과,심혈관계 진찰 및 증상,순환기,,임상의학,
2025 KMLE 4교시 7번,내과,심혈관계 진찰 및 증상,순환기,,임상의학,
2023 KMLE 2교시 26번,내과,흉막과 종격동 질환,호흡기,,임상의학,
2023 KMLE 4교시 64번,정신건강의학과,물질관련 장애(알코올/약물),질환,,임상의학,
2022 KMLE 1교시 26번,외과,정맥계,외과각론,,임상의학,
2024 KMLE 3교시 9번,내과,폐색전증,호흡기,,임상의학,
2021 KMLE 1교시 73번,예방의학,역학적 연구방법론,역학,,인문사회의학,
2025 KMLE 1교시 26번,소아청소년과,성장,총론,,임상의학,
2023 KMLE 4교시 12번,내과,빈맥성 부정맥,순환기,,임상의학,
2022 KMLE 2교시 9번,정신건강의학과,해리장애(적응장애 포함),질환,,임상의학,
2023 KMLE 2교시 74번,정신건강의학과,기분 장애,질환,,임상의학,
2023 KMLE 4교시 50번,내과,위종양,소화기-위장관,,임상의학,
2021 KMLE 5교시 8번,내과,흡수장애,소화기-위장관,,임상의학,
2021 KMLE 3교시 61번,외과,외상,외과총론,SGGN01000008,임상의학,
2024 KMLE 2교시 75번,산부인과,자궁경부 상피내 종양,부인과-종양,,임상의학,
2022 KMLE 4교시 77번,내과,만성폐쇄성폐질환,호흡기,,임상의학,
2024 KMLE 4교시 77번,마이너,두통,신경과/신경외과,,임상의학,
2025 KMLE 4교시 75번,외과,결장 및 직장,외과각론,SGSP01200003,임상의학,
2024 KMLE 2교시 53번,정신건강의학과,소아·청소년 정신의학,특수분야,,임상의학,
2023 KMLE 1교시 68번,예방의학,환경오염,환경 및 산업보건,,인문사회의학,
2023 KMLE 4교시 58번,산부인과,부인과 감염질환,부인과-일반,,임상의학,
2025 KMLE 4교시 27번,외과,유방,외과각론,SGSP00100003,임상의학,
2026 KMLE 1교시 12번,의료법규,마약류관리에 관한 법률,의료법규,,인문사회의학,
2022 KMLE 3교시 7번,정신건강의학과,불안장애,질환,,임상의학,
2022 KMLE 3교시 27번,내과,두드러기와 혈관부종,알레르기,,임상의학,
2021 KMLE 3교시 70번,내과,위종양,소화기-위장관,,임상의학,
2023 KMLE 4교시 68번,소아청소년과,호흡기 질환,각론,,임상의학,
2021 KMLE 4교시 35번,내과,지질대사 이상,내분비,,임상의학,
2024 KMLE 3교시 2번,내과,간경변증 및 합병증,소화기-간담췌,,임상의학,
2022 KMLE 1교시 60번,예방의학,역학의 기본원리(역학적 개념),역학,,인문사회의학,
2022 KMLE 2교시 36번,내과,천식,호흡기,,임상의학,
2024 KMLE 1교시 52번,마이너,폐와 흉막,심장혈관흉부외과,,임상의학,
2024 KMLE 3교시 44번,내과,폐암,호흡기,,임상의학,
2022 KMLE 2교시 17번,내과,아나필락시스,알레르기,,임상의학,
2026 KMLE 1교시 21번,소아청소년과,신생아 질환,총론,,임상의학,
2024 KMLE 3교시 68번,정신건강의학과,신체증상 및 관련장애(신체형장애),질환,,임상의학,
2026 KMLE 1교시 45번,내과,만성 바이러스간염,소화기-간담췌,,임상의학,
2025 KMLE 3교시 16번,내과,복부 증상론 및 진단학,소화기-위장관,,임상의학,
2026 KMLE 1교시 24번,의료법규,보건관계의료법규 개론,의료법규,,인문사회의학,
2024 KMLE 2교시 37번,,,,,,
2022 KMLE 1교시 34번,소아청소년과,예방 소아과학,총론,,임상의학,
2022 KMLE 4교시 18번,산부인과,임신 고혈압,산과-이상임신,,임상의학,
2025 KMLE 3교시 63번,정신건강의학과,기분 장애,질환,,임상의학,
2023 KMLE 4교시 19번,내과,염증성 장질환,소화기-위장관,,임상의학,
2022 KMLE 2교시 52번,정신건강의학과,기분 장애,질환,,임상의학,
2021 KMLE 5교시 15번,내과,스피로헤타 감염,감염,,임상의학,
2021 KMLE 4교시 20번,소아청소년과,성장,총론,,임상의학,
2023 KMLE 4교시 62번,내과,게실(곁주머니) 질환,소화기-위장관,,임상의학,
2021 KMLE 4교시 62번,마이너,음경 및 요도 질환,비뇨의학과,,임상의학,
2024 KMLE 1교시 22번,외과,담낭과 담도,외과각론,SGSP01500004,임상의학,
2021 KMLE 1교시 65번,예방의학,의료자원과 관리,의료관리,,인문사회의학,
2023 KMLE 2교시 8번,소아청소년과,신생아 질환,총론,,임상의학,
2023 KMLE 1교시 30번,외과,갑상샘,외과각론,SGSP00200003,임상의학,
2023 KMLE 2교시 75번,마이너,척추의 질환,정형외과,,임상의학,
2024 KMLE 1교시 18번,의료법규,응급의료에 관한 법률,의료법규,,인문사회의학,
2023 KMLE 4교시 34번,내과,심근질환,순환기,,임상의학,
2024 KMLE 3교시 65번,내과,고혈압,순환기,,임상의학,
2021 KMLE 3교시 49번,내과,흉막과 종격동 질환,호흡기,,임상의학,
2023 KMLE 2교시 61번,산부인과,요실금/골반장기 탈출증/샛길,부인과-기타,,임상의학,
2024 KMLE 3교시 3번,마이너,종격동,심장혈관흉부외과,,임상의학,
2023 KMLE 1교시 46번,산부인과,무월경,부인과-생식내분비,,임상의학,
2022 KMLE 3교시 52번,내과,지질대사 이상,내분비,,임상의학,
2025 KMLE 4교시 49번,산부인과,산전 관리,산과-산전관리,,임상의학,
2024 KMLE 3교시 39번,정신건강의학과,외상 및 스트레스 관련 장애,질환,,임상의학,
2025 KMLE 1교시 67번,예방의학,보건의료 서론(이해),의료관리,,인문사회의학,
2021 KMLE 3교시 17번,외과,갑상샘,외과각론,,임상의학,
2024 KMLE 1교시 14번,의료법규,지역보건법,의료법규,,인문사회의학,
2025 KMLE 2교시 26번,외과,췌장,외과각론,SGSP01600002,임상의학,
2023 KMLE 2교시 58번,내과,폐색전증,호흡기,,임상의학,
2021 KMLE 3교시 68번,내과,심근질환,순환기,,임상의학,
2024 KMLE 3교시 32번,내과,ST분절 상승 심근경색,순환기,,임상의학,
2022 KMLE 4교시 29번,소아청소년과,소화기 질환,각론,,임상의학,
2022 KMLE 3교시 62번,내과,중추신경계 감염,감염,,임상의학,
2024 KMLE 4교시 38번,마이너,비뇨생식 종양,비뇨의학과,,임상의학,
2025 KMLE 2교시 42번,내과,빈혈에 대한 접근,혈액,,임상의학,
2023 KMLE 4교시 39번,내과,폐렴,호흡기,,임상의학,
2025 KMLE 4교시 3번,내과,복부 증상론 및 진단학,소화기-위장관,,임상의학,
2025 KMLE 2교시 74번,마이너,청력소실/이명,이비인후과,,임상의학,
2023 KMLE 3교시 42번,외과,외상,외과총론,SGGN01000013,임상의학,
2023 KMLE 1교시 20번,의료법규,연명의료결정법,의료법규,,인문사회의학,
2025 KMLE 1교시 59번,예방의학,역학적 연구방법론,역학,,인문사회의학,
